Keyword,Currency,Avg. monthly searches,Изменение за квартал,Изменение за год,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
country of origin,USD,5000.0,900%,900%,Низкий,0.0,,
country of origin information,USD,50.0,0%,0%,Низкий,2.0,,
expert witness report,USD,50.0,0%,-90%,Низкий,10.0,"2,44","10,99"
us asylum case,USD,50.0,0%,0%,Низкий,8.0,,
asylum expert witness,USD,50.0,0%,0%,Низкий,9.0,,
expert report for court,USD,50.0,0%,0%,Низкий,27.0,,
expert court reports,USD,50.0,0%,∞,Низкий,0.0,,
medical expert report,USD,50.0,0%,0%,Низкий,24.0,"7,36","11,52"
expert report,USD,500.0,0%,0%,Низкий,6.0,"3,70","13,04"
country of origin certificate,USD,500.0,0%,0%,Низкий,5.0,"1,34","12,00"
expert witness asylum cases,USD,50.0,0%,0%,Средний,45.0,"2,51","6,25"
expert witness statement,USD,50.0,0%,0%,Низкий,4.0,,
asylum expert witness list,USD,50.0,-100%,-100%,Неизвестно,,,
vcat expert report,USD,50.0,0%,0%,Неизвестно,,,
expert witness report costs,USD,50.0,-100%,-100%,Неизвестно,,,
country of origin labeling,USD,500.0,0%,0%,Низкий,6.0,"2,18","4,73"
asylum case usa,USD,50.0,-90%,-90%,Низкий,3.0,,
cpr 35 expert report,USD,50.0,-100%,0%,Неизвестно,,,
ncat expert witness,USD,50.0,0%,0%,Неизвестно,,,
cost of expert witness report,USD,50.0,-100%,-100%,Неизвестно,,,
asean certificate of origin,USD,50.0,0%,0%,Низкий,0.0,,
asean india free trade area preferential tariff certificate of origin,USD,50.0,∞,∞,Низкий,0.0,,
asylum case in us,USD,50.0,-90%,-90%,Низкий,3.0,,
certificate of origin eu,USD,50.0,0%,0%,Низкий,1.0,,
coo country,USD,50.0,0%,0%,Низкий,0.0,,
coo label,USD,50.0,0%,0%,Низкий,6.0,,
cool labeling,USD,500.0,0%,0%,Низкий,6.0,"2,18","4,73"
cosmic byte country of origin,USD,0.0,0%,0%,Неизвестно,,,
cosmic byte origin country,USD,50.0,0%,0%,Неизвестно,,,
